"Month","Longitude","Latitude","Location","Crime.type","Town","Population"
"2015-01","-5.930334","54.599189","Castle Street","ASBO","DONAGHADEE","6,926"
"2015-01","-5.934003","54.614427","Syringa Street","CDAR","BELFAST","335,665"
"2015-01","-5.810977","54.827682","Glenburn Road","POSW","NEWTOWNARDS","28,654"
"2015-02","-5.925288","54.602256","Dunbar Street","VISO","BELFAST","335,665"
"2015-02","-5.973875","54.585604","Falls Road","ASBO","BELFAST","335,665"
"2015-01","-6.673281","54.844476","Main Street","CDAR","BALLYMONEY","11,365"
"2015-01","-5.978145","54.596853","Sliabh Dubh View","CDAR","BELFAST","335,665"
"2015-02","-5.895240","54.555608","Carnbrae Park","VISO","BELFAST","335,665"
"2015-01","-7.012393","55.043423","Oakdene Crescent","ASBO","BALLYKELLY","1,836"
"2015-01","-6.341382","54.114958","Killeen School Road","VISO","NEWRY","27,234"
"2015-02","-5.662225","54.647877","Lisadell Drive","BURG","BANGOR","62,789"
"2015-02","-6.002595","54.059698","Irvington Park","VISO","KILKEEL","69,258"
"2015-02","-6.657264","54.691030","Loup Road","CDAR","MONEYMORE","1,371"
"2015-02","-6.338344","54.179788","New Street","CDAR","CLADY","597"
"2015-02","-5.999062","54.754506","Cameron Court","ASBO","BALLYCLARE","18,675"
"2015-02","-7.541616","54.316333","Rathview Park","BURG","CROSSMAGLEN","1,629"
"2015-02","-7.316116","55.028370","Bradley Park","VISO","LONDONDERRY","87,269"
"2015-02","-5.642329","54.662874","Windmill Road","CDAR","NEWRY","27,234"
"2015-02","-6.327947","54.178179","Greenfield Park","ASBO","NEWRY","27,234"
"2015-01","-5.920853","54.664635","Coolderry Gardens","ASBO","NEWTOWNABBEY","118,261"
"2015-01","-6.621898","54.853930","Drummuck Road","BURG","MAGHERA","3,712"
"2015-02","-6.976277","54.414763","Sydney Street","VISO","AUGHNACLOY","1,021"
"2015-01","-5.889511","54.222950","Murlough Court","VISO","NEWCASTLE","7,524"
"2015-01","-7.295690","55.000048","Harkness Gardens","VISO","LONDONDERRY","87,269"
"2015-02","-7.307712","54.997916","Iona Terrace","VISO","LONDONDERRY","87,269"
"2015-02","-5.942415","54.686675","Ravelston Avenue","ASBO","NEWTOWNABBEY","118,261"
"2015-02","-6.029306","54.558011","Woodside Walk","VISO","DUNMURRY",NA
"2015-02","-5.923546","54.551946","Castledillon Road","SHOP","BELFAST","335,665"
"2015-01","-5.945590","54.597697","Servia Street","OTTH","BELFAST","335,665"
"2015-02","-5.913227","54.603864","Queens Road","ASBO","BELFAST","335,665"
"2015-02","-5.908586","54.590540","Ravenhill Street","OTTH","BELFAST","335,665"
"2015-01","-5.909877","54.599754","Strand Close","VISO","BELFAST","335,665"
"2015-02","-6.075198","54.464588","Dunbeg Gardens","ASBO","HILLSBOROUGH","3,487"
"2015-02","-5.923999","54.598389","Victoria Square","DRUG","BELFAST","335,665"
"2015-02","-7.282523","55.003169","Sperrin Park","ASBO","LONDONDERRY","87,269"
"2015-02","-5.954431","54.614882","Ardoyne Avenue","ASBO","BELFAST","335,665"
"2015-02","-5.830278","54.849395","Priory Gardens","VECR","BELFAST","335,665"
"2015-02","-7.465774","54.826433","Main Street","BURG","BALLYMONEY","11,365"
"2015-01","-5.790355","54.588088","Drumadoon Drive","ASBO","DUNDONALD","16,257"
"2015-01","-6.026470","54.560390","Glenwood Walk","BURG","DUNMURRY",NA
